disease,description,medications,precautions,diet,workout,specialist
(vertigo) Paroymsal  Positional Vertigo,A form of dizziness caused by tiny crystals in the inner ear disturbing balance.,Betahistine; Meclizine (antihistamine); Prochlorperazine,Avoid sudden head movements; Sit down when dizzy; Use support when walking; Do Epley maneuver exercises,Stay hydrated; Reduce salt intake; Avoid caffeine and alcohol,Vestibular rehabilitation and balance exercises (Brandt-Daroff).,ENT Specialist / Neurologist
AIDS,Advanced HIV infection that severely weakens the immune system.,Antiretroviral Therapy (ART); Prophylactic antibiotics for infections,Adhere strictly to ART; Avoid infections; Practice safe sex; Regular CD4/viral load monitoring,"High-protein balanced meals; Plenty of fruits and vegetables; Safe, clean water and food",Moderate regular exercise to maintain strength and immunity.,Infectious Disease Specialist
Acne,A skin condition where hair follicles clog with oil and dead skin cells.,Benzoyl peroxide; Topical retinoids; Topical/oral antibiotics,Wash face twice daily; Avoid touching/popping pimples; Use non-comedogenic products; Remove makeup before bed,Low-glycemic foods; Reduce dairy and sugar; Drink plenty of water,Regular exercise to reduce stress; shower promptly after sweating.,Dermatologist
Alcoholic hepatitis,Liver inflammation caused by excessive alcohol consumption.,Corticosteroids (severe cases); Vitamin/thiamine supplements; Pentoxifylline,Stop alcohol completely; Regular liver function tests; Avoid hepatotoxic drugs; Rest adequately,High-calorie high-protein diet; Vitamin-rich foods; Avoid alcohol and fatty foods,Light activity as tolerated; prioritize rest and recovery.,Hepatologist / Gastroenterologist
Allergy,"An immune reaction to substances such as pollen, dust, or certain foods.",Antihistamines; Decongestants; Corticosteroid nasal sprays,Identify and avoid allergens; Keep home dust-free; Use air purifiers; Carry prescribed medication,Avoid known food triggers; Anti-inflammatory foods; Vitamin-C rich fruits,Indoor exercise on high-pollen days; stay active to boost immunity.,Allergist / Immunologist
Arthritis,Inflammation of one or more joints causing pain and stiffness.,NSAIDs; DMARDs; Corticosteroids,Keep joints moving gently; Maintain healthy weight; Apply hot/cold packs; Avoid overexertion,Omega-3 rich foods; Anti-inflammatory diet; Reduce processed foods,"Low-impact exercise: swimming, cycling, stretching.",Rheumatologist
Bronchial Asthma,"A chronic condition where airways narrow and swell, causing breathing difficulty.","Inhaled bronchodilators (e.g., salbutamol); Inhaled corticosteroids; Leukotriene modifiers","Avoid triggers (dust, smoke); Carry a reliever inhaler; Use prescribed preventers; Get vaccinated for flu",Vitamin-D and magnesium rich foods; Avoid sulfite-heavy foods; Stay hydrated,Breathing exercises and gentle aerobic activity; warm up properly.,Pulmonologist
Cervical spondylosis,Age-related wear of the discs and joints in the neck (cervical spine).,NSAIDs; Muscle relaxants; Nerve pain medication,Maintain good posture; Avoid long screen hours; Use a supportive pillow; Gentle neck exercises,Calcium and vitamin-D rich foods; Anti-inflammatory diet; Stay hydrated,"Neck stretches, posture correction, and physiotherapy exercises.",Orthopedic Specialist / Neurologist
Chicken pox,"A highly contagious viral infection causing an itchy, blister-like rash.",Antihistamines for itching; Acyclovir (antiviral); Paracetamol for fever,Isolate to prevent spread; Avoid scratching; Keep skin clean and cool; Trim fingernails,Soft bland foods; Plenty of fluids; Avoid spicy/salty foods,Rest until recovery; resume activity gradually.,General Physician / Dermatologist
Chronic cholestasis,"Reduced or blocked bile flow from the liver, causing itching and jaundice.",Ursodeoxycholic acid; Cholestyramine for itching; Fat-soluble vitamin supplements,Avoid alcohol; Regular liver monitoring; Avoid fatty foods; Manage itching with cool baths,"Low-fat diet; Fat-soluble vitamins (A, D, E, K); Small frequent meals",Light regular activity as tolerated.,Hepatologist / Gastroenterologist
Common Cold,A mild viral infection of the nose and throat.,Decongestants; Antihistamines; Paracetamol for aches,Rest well; Wash hands frequently; Cover mouth when sneezing; Stay warm,Warm fluids and soups; Vitamin-C rich fruits; Honey and ginger tea,Rest; light walking once symptoms ease.,General Physician
Dengue,A mosquito-borne viral infection causing high fever and body pain.,Paracetamol for fever (avoid NSAIDs); IV fluids in severe cases; Oral rehydration,Prevent mosquito bites; Monitor platelet count; Stay hydrated; Seek care if bleeding/worsening,Papaya leaf extract (traditional); Plenty of fluids; Soft easily digestible foods,Complete rest during illness; recover gradually.,General Physician / Infectious Disease Specialist
Diabetes,A chronic condition affecting how the body regulates blood sugar.,Metformin; Insulin (as prescribed); Other oral hypoglycemics,Monitor blood sugar regularly; Foot care; Regular eye check-ups; Take medication on time,"Low-glycemic, high-fiber foods; Control carbohydrate intake; Avoid sugary drinks","At least 30 min of moderate exercise most days (walking, cycling).",Endocrinologist / Diabetologist
Dimorphic hemmorhoids(piles),Swollen veins in the lower rectum and anus causing pain and bleeding.,Topical creams/ointments; Stool softeners; Fiber supplements,Avoid straining; Don't sit for long periods; Maintain hygiene; Warm sitz baths,High-fiber foods; Plenty of water; Avoid spicy foods,Regular light exercise to improve bowel movement; avoid heavy lifting.,Proctologist / General Surgeon
Drug Reaction,An adverse reaction of the body to a medication.,Stop the offending drug; Antihistamines; Corticosteroids (as prescribed),Discontinue suspected drug; Note and report allergies; Seek urgent care if severe; Carry an allergy card,"Stay hydrated; Light, easily digestible foods; Avoid new/unknown supplements",Rest until the reaction resolves.,Allergist / General Physician
Fungal infection,"A skin infection caused by fungi, often itchy and red.",Topical antifungal creams; Oral antifungals (severe); Antifungal powders,Keep skin dry and clean; Avoid sharing personal items; Wear breathable clothing; Change damp clothes promptly,Reduce sugar intake; Probiotic-rich foods; Garlic and immune-supporting foods,Shower and dry thoroughly after sweating.,Dermatologist
GERD,Gastroesophageal reflux disease — stomach acid frequently flows back into the esophagus.,Proton pump inhibitors; H2 blockers; Antacids,Avoid lying down after meals; Elevate head while sleeping; Avoid trigger foods; Eat smaller meals,Low-acid foods; Avoid spicy/fatty/caffeine; Small frequent meals,Light activity; avoid exercising right after eating.,Gastroenterologist
Gastroenteritis,"Inflammation of the stomach and intestines, usually from infection.",Oral rehydration solution; Anti-diarrheals (as advised); Probiotics,Stay hydrated; Wash hands often; Rest; Avoid solid food until settled,"BRAT diet (banana, rice, applesauce, toast); Plenty of fluids; Avoid dairy and fatty foods",Rest until recovered; rehydrate well.,Gastroenterologist / General Physician
